param-n,autorewrite-noop-regression-quadratic-real,try-rewrite!-noop-regression-quadratic-real,try-rewrite-noop-regression-quadratic-real,try-rewrite?-noop-regression-quadratic-real,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-real
2800,0.403,0.414,0.413,0.415,0.001,0.001,0.001
2900,0.433,0.428,0.414,0.414,0.001,0.001,0.001
3000,0.47,0.449,0.46,0.454,0.001,0.001,0.001
3100,0.494,0.458,0.458,0.451,0.001,0.002,0.001
3200,0.511,0.492,0.486,0.509,0.002,0.001,0.001
3300,0.512,0.507,0.551,0.543,0.002,0.001,0.001
3400,0.543,0.545,0.554,0.608,0.002,0.002,0.002
3500,0.642,0.639,0.594,0.607,0.001,0.001,0.001
3600,0.637,0.64,0.623,0.611,0.002,0.002,0.002
3700,0.635,0.651,0.623,0.676,0.002,0.001,0.001
3800,0.673,0.692,0.68,0.67,0.001,0.001,0.001
3900,0.714,0.745,0.733,0.764,0.002,0.002,0.001
4000,0.753,0.728,0.754,0.721,0.001,0.001,0.001
4100,0.796,0.775,0.8,0.794,0.002,0.001,0.001
4200,0.837,0.806,0.837,0.808,0.002,0.002,0.002
4300,0.849,0.849,0.862,0.825,0.002,0.001,0.002
4400,0.869,0.89,0.908,0.893,0.002,0.002,0.002
4500,0.973,0.906,0.92,0.92,0.002,0.002,0.002
4600,0.963,0.972,0.971,0.972,0.002,0.002,0.002
4700,0.999,0.968,1.031,1.003,0.003,0.002,0.002
4800,1.013,1.041,1.065,1.043,0.002,0.002,0.003
4900,1.1,1.114,1.101,1.073,0.002,0.001,0.002
5000,1.142,1.095,1.097,1.109,0.002,0.002,0.002
5500,1.294,1.296,1.302,1.315,0.003,0.002,0.002
6000,1.546,1.501,1.514,1.56,0.002,0.002,0.002
6500,1.811,1.777,1.787,1.78,0.003,0.003,0.002
7000,2.08,2.02,2.006,2.094,0.003,0.003,0.002
7500,2.429,2.454,2.503,2.367,0.003,0.003,0.003
8000,2.629,2.57,2.648,2.644,0.004,0.004,0.003
8500,2.972,3.217,3.148,3.087,0.004,0.003,0.003
9000,3.466,3.431,3.446,3.43,0.004,0.003,0.003
9500,3.876,3.832,3.743,3.604,0.004,0.004,0.005
10000,4.096,4.252,4.208,4.187,0.005,0.004,0.004
